Parameters,Name,Value
Number of life stages,Nstage,4
Adult capacity,k,100
Spawn events per female,events,1
Eggs per female spawn,eps,3000
spawning interval,int,1
egg survival,SE,0.1
yoy survival,S0,0.3
sex ratio,SR,0.5
Hatchling Survival,surv_1,0.3
Juvenile Survival,surv_2,0.3
Sub-adult Survival,surv_3,0.9
Adult Survival,surv_4,0.9
Years as hatchling,year_1,1
years as juvenile,year_2,2
years as subadult,year_3,2
years as adult,year_4,5
egg survival compensation ratio,cr_E,1
yoy survival compensation ratio,cr_0,3
hatchling survival compensation ratio,cr_1,2.5
juvenile survival compensation ratio,cr_2,2
subadult survival compensation ratio,cr_3,1.1
adult survival compensation ratio,cr_4,1
maturity as hatchling,mat_1,0
maturity as juvenile,mat_2,0
maturity as subadult,mat_3,0
maturity as adult,mat_4,1
variance in eggs per female,eps_sd,1.00E+03
correlation in egg fecundity through time,egg_rho,0.1
coefficient of variation in stage-specific mortality,M.cv,1.00E-01
correlation in mortality through time,M.rho,0.1
